sample_name	cluster
TCGA-ZF-AA5H	3
TCGA-BT-A20N	4
TCGA-FT-A61P	3
TCGA-E7-A677	2
TCGA-2F-A9KW	4
TCGA-GD-A6C6	2
TCGA-DK-A1A5	4
TCGA-XF-AAN0	4
TCGA-BT-A20J	5
TCGA-KQ-A41Q	1
TCGA-G2-A2EK	4
TCGA-CF-A1HS	3
TCGA-G2-A3VY	1
TCGA-DK-A3IV	1
TCGA-DK-A2I4	3
TCGA-XF-A8HB	1
TCGA-HQ-A5NE	3
TCGA-FJ-A3Z7	1
TCGA-BT-A2LB	4
TCGA-G2-A2ES	3
TCGA-K4-A5RI	2
TCGA-ZF-AA54	5
TCGA-GD-A3OS	5
TCGA-XF-A9T6	3
TCGA-BT-A20U	3
TCGA-CF-A7I0	2
TCGA-4Z-AA7N	5
TCGA-GU-A42Q	3
TCGA-GV-A3JX	1
TCGA-CF-A3MF	2
TCGA-FD-A3SP	5
TCGA-PQ-A6FN	3
TCGA-YC-A9TC	2
TCGA-2F-A9KR	2
TCGA-BT-A2LA	1
TCGA-BT-A20P	2
TCGA-ZF-A9R9	4
TCGA-XF-AAMT	5
TCGA-ZF-A9RN	2
TCGA-YC-A89H	3
TCGA-FJ-A3Z9	1
TCGA-FD-A43P	1
TCGA-XF-A9SW	4
TCGA-4Z-AA82	3
TCGA-XF-A8HH	4
TCGA-GC-A3OO	4
TCGA-FD-A5BZ	4
TCGA-FD-A62N	3
TCGA-FD-A6TI	4
TCGA-XF-A9SZ	4
TCGA-ZF-A9R3	2
TCGA-FJ-A3ZE	2
TCGA-FJ-A871	4
TCGA-K4-A4AC	3
TCGA-BT-A3PK	5
TCGA-E7-A3Y1	2
TCGA-H4-A2HO	1
TCGA-DK-A1AE	2
TCGA-FD-A6TD	3
TCGA-UY-A78O	1
TCGA-5N-A9KI	4
TCGA-XF-A9SM	3
TCGA-UY-A78N	1
TCGA-BT-A20T	4
TCGA-KQ-A41P	4
TCGA-XF-AAN1	2
TCGA-ZF-AA51	4
TCGA-BT-A20O	5
TCGA-GC-A3RC	3
TCGA-XF-A9T8	3
TCGA-GU-A763	2
TCGA-GD-A2C5	4
TCGA-BT-A42E	3
TCGA-GD-A3OP	4
