sample_name	cluster
TCGA-BP-4991	1
TCGA-BP-4965	1
TCGA-CZ-4857	3
TCGA-BP-4169	1
TCGA-B0-5081	1
TCGA-BP-4959	1
TCGA-BP-5191	3
TCGA-B0-4834	2
TCGA-BP-4329	4
TCGA-BP-4770	1
TCGA-B0-4823	1
TCGA-B0-5100	3
TCGA-B2-3923	2
TCGA-CJ-4639	1
TCGA-AK-3434	4
TCGA-MM-A564	4
TCGA-DV-A4VX	3
TCGA-BP-4960	3
TCGA-CJ-5676	3
TCGA-B2-5641	1
TCGA-CZ-5470	4
TCGA-CZ-4866	4
TCGA-CZ-5464	3
TCGA-AK-3440	2
TCGA-B2-4101	1
TCGA-DV-5566	4
TCGA-B0-5120	1
TCGA-CJ-6031	1
TCGA-BP-4159	1
TCGA-A3-3324	4
TCGA-EU-5905	1
TCGA-B0-5117	2
TCGA-G6-A8L8	4
TCGA-B0-4842	3
TCGA-A3-3370	1
TCGA-CJ-5689	1
TCGA-BP-4972	1
TCGA-CJ-4887	4
TCGA-B0-4700	3
TCGA-B0-5092	1
TCGA-BP-4341	4
TCGA-B0-5812	1
TCGA-A3-3357	4
TCGA-CJ-4641	1
TCGA-BP-4338	3
TCGA-B4-5378	1
TCGA-A3-A6NI	4
TCGA-BP-4974	1
TCGA-B4-5836	4
TCGA-BP-5196	3
TCGA-G6-A8L7	3
TCGA-CW-5587	1
TCGA-BP-5187	1
TCGA-B0-4691	3
TCGA-BP-4164	4
TCGA-CZ-5455	4
TCGA-DV-A4VZ	1
TCGA-CJ-5677	3
TCGA-CW-6097	1
TCGA-BP-4797	1
TCGA-B4-5832	3
TCGA-B0-5099	4
TCGA-B0-5095	3
TCGA-CJ-6027	3
TCGA-B8-4143	3
TCGA-CZ-5454	4
TCGA-AK-3431	1
TCGA-A3-A8CQ	4
TCGA-B8-A54D	4
TCGA-B0-4843	1
TCGA-BP-5010	3
TCGA-DV-5576	1
TCGA-BP-4968	1
TCGA-B8-A54I	3
TCGA-BP-5194	4
TCGA-B0-4703	1
TCGA-B0-5402	4
TCGA-B8-4153	4
TCGA-BP-4987	4
TCGA-A3-3387	1
TCGA-B0-5711	1
TCGA-B0-5705	4
TCGA-BP-4330	1
TCGA-BP-4343	1
TCGA-CZ-5468	3
TCGA-DV-5575	1
TCGA-CZ-5463	4
TCGA-MM-A84U	3
TCGA-CZ-5456	3
TCGA-A3-3358	1
TCGA-B0-4848	3
TCGA-BP-5186	4
TCGA-BP-4337	1
TCGA-BP-4351	1
TCGA-B0-5098	3
TCGA-BP-4982	1
TCGA-B8-A54H	4
TCGA-CJ-4872	1
TCGA-B0-4833	4
TCGA-BP-5007	1
TCGA-B0-5113	4
TCGA-BP-4769	1
TCGA-BP-4801	1
TCGA-A3-3372	4
TCGA-BP-4985	3
TCGA-CJ-4634	4
TCGA-A3-3308	1
TCGA-B0-5088	1
TCGA-B0-4841	4
TCGA-AK-3453	2
TCGA-BP-5201	4
TCGA-CW-6093	4
TCGA-CZ-5466	3
TCGA-A3-3313	4
TCGA-B0-4817	3
TCGA-B0-4698	3
TCGA-A3-3322	4
TCGA-B0-5097	3
TCGA-B0-5110	4
TCGA-CJ-5671	3
TCGA-B0-5116	3
TCGA-B0-4844	3
TCGA-BP-4969	4
TCGA-BP-5004	1
TCGA-BP-4756	1
TCGA-A3-3380	4
TCGA-BP-4973	1
TCGA-BP-5000	1
TCGA-A3-3349	1
TCGA-BP-4781	3
TCGA-B4-5835	3
TCGA-BP-4771	1
TCGA-CW-5583	4
TCGA-CW-5588	1
TCGA-A3-3367	4
TCGA-BP-4354	3
TCGA-CZ-4859	4
TCGA-B0-5109	3
TCGA-CJ-4900	3
TCGA-AK-3444	4
TCGA-AK-3429	1
TCGA-CJ-4904	4
TCGA-B8-5158	3
TCGA-B0-5108	1
TCGA-AK-3443	2
TCGA-DV-5574	1
TCGA-A3-3362	1
TCGA-BP-4963	3
TCGA-BP-4804	1
TCGA-B8-A54J	4
TCGA-B0-5400	1
TCGA-B0-5691	1
TCGA-CJ-5679	3
TCGA-BP-5175	3
TCGA-BP-4789	1
TCGA-B0-4824	4
TCGA-B0-5121	4
TCGA-CZ-5459	4
TCGA-B0-4713	3
TCGA-A3-3331	4
TCGA-BP-4967	1
TCGA-B0-5709	1
TCGA-BP-4162	1
TCGA-CZ-4861	4
TCGA-EU-5906	4
TCGA-CJ-4885	4
TCGA-B8-5163	1
TCGA-BP-4962	1
TCGA-3Z-A93Z	4
TCGA-B0-4701	4
TCGA-B8-A54E	1
TCGA-BP-4961	1
TCGA-BP-4975	1
TCGA-AK-3428	4
TCGA-BP-4158	4
TCGA-B0-4690	3
TCGA-BP-5168	4
TCGA-CJ-5678	4
TCGA-CJ-4870	4
TCGA-A3-3365	1
TCGA-CJ-5683	4
TCGA-B8-5164	1
TCGA-B8-4154	4
TCGA-BP-4160	1
TCGA-A3-A8OV	4
TCGA-CJ-4869	1
TCGA-AK-3427	2
TCGA-B0-4837	4
TCGA-BP-4775	1
